"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0x919657f3f283e8b9737c034325f58cb31dc3b76ba0b2d50f7f705577b34ddd7f","1622505607","2021-06-01 00:00:07","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x8e17b2574da6bd230f197348c7b9059d323e97d5","462.055123","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0xe26e0e8aeb61191ed4e937ef83aa8483c8040dd05f40fdbb92549c19de6c80f1","1622505628","2021-06-01 00:00:28","0x9a22a348cb3d4be207aec0d45267671cd68ae2f9","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","5,247.948673","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0x689b477f620c85082337c5d1b543e4a6532ceddcde3807eea2f110f9755788c4","1622505628","2021-06-01 00:00:28","0x4d56f3aab1710a692a9c6a32a3479ed0a32cb170","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0.52248755","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0xe09030db89e51796733327bea84998d0836335709532935a63151a7b9e460516","1622505708","2021-06-01 00:01:48","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x2ac4848b1cf155c8cfd7534f07daa3039b61234d","1,046.345823","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0x2e4ad86cb61c8a7a8dcd35c6a1cbc223b2a628ea00ee6b78fa1e698fa8310d68","1622505708","2021-06-01 00:01:48","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x760497bffaed0850eb7db38b5a28abc3b1c656e7","27,410.187347166506042149","0xc4c2614e694cf534d407ee49f8e44d125e4681c4","Chain Games","CHAIN",""
"0x7de3393d2d969656a82274f34eb3088b3fcd798ea5f396487eee8756c6267801","1622505745","2021-06-01 00:02:25","0xfb6feec95eedfd3d0b4d8c380c7ceb08288ee9fa","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","341.92851376","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI",""
"0x56873796a370a1422cba56768381329f4f3e5361c1a31ca7cc2b45e3e0213e5b","1622505746","2021-06-01 00:02:26","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x760497bffaed0850eb7db38b5a28abc3b1c656e7","176.474026279997401827","0x63b4f3e3fa4e438698ce330e365e831f7ccd1ef4","CyberFi Token","CFi",""
"0x636b0ee98cf0c40ce8a8b1984ad33f02eda78e02c5fbda9f40582d9284188e31","1622505767","2021-06-01 00:02:47","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x0709b103d46d71458a71e5d81230dd688809a53d","635,680.238124","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0x6bd5dac3cd5b0854057e83eee86a7db0e74311bf32f047da5b193a0ff1118018","1622505775","2021-06-01 00:02:55","0x94a476937165a7546c9edcb3cb642c110a620ed9","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","477.2","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0xda6b2733203c93d943164f3884048a0775e17b5c991234a7e441950c2b092a1c","1622505784","2021-06-01 00:03:04","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x760497bffaed0850eb7db38b5a28abc3b1c656e7","40,059.879321226794723362","0x72f020f8f3e8fd9382705723cd26380f8d0c66bb","PLOT","PLOT",""
"0xda72ef49bdbbdff4c9ae371765d5e90a1e9c78bb94d9820d700a1858be40e719","1622505825","2021-06-01 00:03:45","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x6718bc8dd6dbdb4f0e5d0ad62291ded00d4d6a4d","1,670.97804","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x00e4477eeb0aa7d928ae51f297c6480c0838e5eac18ac108d88302ae6c4b2bf2","1622505835","2021-06-01 00:03:55","0x8d376759452c45ecff24e8bd13de1648124b4aef","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","9,880","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0xd2bf4aa078ea5063dfa73e3003afc6f856f7a7ecfa8e74c273d5be5cfe93ce74","1622505893","2021-06-01 00:04:53","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0xd157d6f9f904879d44d59bda39503da7e6bfa20a","28,366.24001","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0xd13a98b39afd2135deebf6b4f9e1de74bf0a60031e13768f3fec23bc582d64e4","1622505959","2021-06-01 00:05:59","0x40e652fe0ec7329dc80282a6db8f03253046efde","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0.4","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0x97ab2753b57e8b699d8f924ef2f9dc6813cc0f85bb5aa77b09ddc0cff412cbc8","1622505976","2021-06-01 00:06:16","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0xd157d6f9f904879d44d59bda39503da7e6bfa20a","29,854.126415535279055185","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI",""
"0xd9d05b622ae9086b08cc032b9b8f3906741d5d05a10ccbcb96a7d3ef5246702f","1622505985","2021-06-01 00:06:25","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x6e3b517074da068d52cff10d914b502d762e5c52","229.523286985444156891","0xe0955f26515d22e347b17669993fcefcc73c3a0a","Stacker Ventures Token","STACK",""
"0x2539a84b379bf521a5abf8c49ba125991e791dacfb7f1e6271a8a3563aaa586b","1622505989","2021-06-01 00:06:29","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x541959881e4766125980f24f8b2f89405b249df9","100,000","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x99f94632c47a668522b99b2c858af2cc97c6694bcbf54054bc9289975cee274a","1622506002","2021-06-01 00:06:42","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x996d86bf445ae22477903d663b90299ee7564ce5","1,023.665565","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0x9a132dc8786ca6bc0feb45475f5eaa7a459847efc2dc6dc618ddb304178b2963","1622506023","2021-06-01 00:07:03","0x7488d2ce5deb26db021285b50b661d655eb3d3d9","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","2,997.88014","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI",""
"0x58dc3bf7ae0197dc7dce0dc3c64b1d91abb2bf454c734d5566c75e86c1350c19","1622506028","2021-06-01 00:07:08","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x94b0058cc348e52be0e13a55fdc1467b552588ea","14.676349609527630955","0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b","DefiPulse Index","DPI",""
"0x6dc16669e333215da755a2484746158119d3941f30ec0b91bcd9664134b48991","1622506042","2021-06-01 00:07:22","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x5306574c94d5da5a9446be59221273d973f22542","53,064.732542","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0x2a65999d1753f56730038cab5289b3e6eb9f52cec904d59e9a633db0df030fc1","1622506042","2021-06-01 00:07:22","0x0949930371b1c538d5103ea78302036046ef01af","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","3,435.1","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x8c61ee31ae717a6d4f288981ae217523091a5619d7e194727b07391541b48a37","1622506091","2021-06-01 00:08:11","0x07ac50dc46ad6d3290dfdd904e4b2f97e2611794","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","1,289.977413","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0xa6cce953d453e782e051ed2ca13d0d370193f77e0dc34dd1bd8f683cceeed979","1622506140","2021-06-01 00:09:00","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0xd382ce339f1b9a4ced577875486cd99bf4ea0e2d","35,775.8","0xc813ea5e3b48bebeedb796ab42a30c5599b01740","Autonio","NIOX",""
"0x5d1d04195813b4d8f0774eef95978de2e03a3e1733988b9d41c5c728e4e0d4cc","1622506140","2021-06-01 00:09:00","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x0a0eaa64cb8db57d3601579b5a3ecd00201e1ae0","1,046.465034","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0xfa0e114b651a1be15512a499de894845ea84e7710a96f6bbf44b4c05a6b1bb8b","1622506198","2021-06-01 00:09:58","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x40fec832b0ff29a082e95678176e1cc66805f8de","22,353.885071665701637347","0x72f020f8f3e8fd9382705723cd26380f8d0c66bb","PLOT","PLOT",""
"0x90b8d5d52810f4f8d6b89a09a43a464f3426f5f69a4a51e22ddc8c7250346a2a","1622506198","2021-06-01 00:09:58","0x353b5e6bc7eec4c343d37504cd878c90f47fec7a","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","50","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI",""
"0x3f4eef7ea2399aef78f8d33cd242d9bc735f243a06ee3465e0a31d4496624d07","1622506198","2021-06-01 00:09:58","0xd1a050afd8d270b721b04c14a96f9dae48272a1f","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","3,090","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0xbc149bbf0017846b2c99fcaebfffdd6edae2e3de761e85c4bb9380a504f7c36c","1622506204","2021-06-01 00:10:04","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x7df9e3686aada867297adf90866d81a59057046c","2,468.369851","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0xd26d5c21991551799da095a0130c6d42fbdf61b7da76911d706b3fb754ee47ac","1622506204","2021-06-01 00:10:04","0x646e04015e43146e75200c6af9133b1884c44963","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","2,065.950116694480618521","0xc944e90c64b2c07662a292be6244bdf05cda44a7","Graph Token","GRT",""
"0x94df359fde19a485a46593dc6d58c6c2fbc502a23bf2d04b96bb72fadd7bbd8f","1622506214","2021-06-01 00:10:14","0x80489809ce6cdbe3f0dba139ea27b847de27a5ae","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0.23863788","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0x516542efdfa872f89144691f12fc604403891c416c2210dfb4e9bb944d90361a","1622506216","2021-06-01 00:10:16","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x99799dbb5a66b2ed2499524a741ab7911236db1c","23.938569158917586944","0x0ec9f76202a7061eb9b3a7d6b59d36215a7e37da","BlackPool Token","BPT",""
"0xe17b4f2e961cec20604f841af18ad1d9a5174be8140ea58b81e68dd50a8a41a0","1622506230","2021-06-01 00:10:30","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0x950c47ea315d78d8d38952ca6519f2bcc8a85627","1,025.706596","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0xe31044da0b7fa3df605125f7f253c2a1bf68c5c4d65abc585764e53e15fc02f1","1622506282","2021-06-01 00:11:22","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","0xd382ce339f1b9a4ced577875486cd99bf4ea0e2d","52.703588065110206713","0xee06a81a695750e71a662b51066f2c74cf4478a0","decentral.games","$DG",""
