blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
7929705,1622588943,0xff2842f9b1b5687c3c830b18e98245f2f797df8d5af6dffa05a2c48f486d75a7,115,0xad5deb5806d95c4197eb4158c3375f74d013c5c8bf7dba6aa41e484ebda547aa,0x5b646303cc2a1dd58477284c57915a33136e67bc,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,324934794118733645,Binance-Peg USD Coin,USDC,18,126,291743,5000000000,276743,18740884,deprecated,10049
7929705,1622588943,0xff2842f9b1b5687c3c830b18e98245f2f797df8d5af6dffa05a2c48f486d75a7,115,0xad5deb5806d95c4197eb4158c3375f74d013c5c8bf7dba6aa41e484ebda547aa,0x5b646303cc2a1dd58477284c57915a33136e67bc,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,64662024029627995417,Binance-Peg USD Coin,USDC,18,126,291743,5000000000,276743,18740884,deprecated,10049
7929714,1622588970,0x9a2320333ede2999c10f882707fb4befad1b20cdcc9fb039b71e22ffdbe2135b,50,0x51886c79ad428085bdcfe70c4e942162727d3f9df96af3fb00baddfb6046749f,0xdd7e758206324f9cf278c64113c31fa5bb141843,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,281773146349413108,Binance-Peg USD Coin,USDC,18,40,255926,5000000000,240926,5398279,deprecated,10040
7929714,1622588970,0x9a2320333ede2999c10f882707fb4befad1b20cdcc9fb039b71e22ffdbe2135b,50,0x51886c79ad428085bdcfe70c4e942162727d3f9df96af3fb00baddfb6046749f,0xdd7e758206324f9cf278c64113c31fa5bb141843,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,56072856123533208492,Binance-Peg USD Coin,USDC,18,40,255926,5000000000,240926,5398279,deprecated,10040
7929723,1622588997,0x56c6b2c23e62eda9d560f293814bdf00ecc1d93c69cc7d3812b733deb41c17db,4,0x951b6547bf8e5e412f275d07a3de24310df28e52fcd03d5740465af984d00f87,0xe61cf7d86582201776defab92ce985931c70d24c,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,250000000000000000,Binance-Peg USD Coin,USDC,18,59,291719,5000000000,291719,8626144,deprecated,10031
7929723,1622588997,0x56c6b2c23e62eda9d560f293814bdf00ecc1d93c69cc7d3812b733deb41c17db,4,0x951b6547bf8e5e412f275d07a3de24310df28e52fcd03d5740465af984d00f87,0xe61cf7d86582201776defab92ce985931c70d24c,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,49750000000000000000,Binance-Peg USD Coin,USDC,18,59,291719,5000000000,291719,8626144,deprecated,10031
7929730,1622589018,0xbf136fd020864177fab074c7ad5012acfa5a8c75339f8e2024e9e02bfe769b9b,3661,0xc516cbfe75cd0f131112a66eace1878000cb0adf0a066e017b5dcfb3b474637c,0x934c12067f5081df66385e3edc998313e9b0bec2,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,5931968463954175093,Binance-Peg USD Coin,USDC,18,95,291743,5000000000,276743,13792782,deprecated,10024
7929730,1622589018,0xbf136fd020864177fab074c7ad5012acfa5a8c75339f8e2024e9e02bfe769b9b,3661,0xc516cbfe75cd0f131112a66eace1878000cb0adf0a066e017b5dcfb3b474637c,0x934c12067f5081df66385e3edc998313e9b0bec2,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,1180461724326880843693,Binance-Peg USD Coin,USDC,18,95,291743,5000000000,276743,13792782,deprecated,10024
7929732,1622589024,0x256193363d40daa7246e01454dd689e5d1b4dd1334cb94f25716fd309b436f71,240,0xb152c4c36a5a7ce4994ebe75bbda0ad038373ad7d1862673b1bd04c021415cb0,0xeaca2e7711dc0cd34ba84cacf4f81d5ce3dfec87,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,312082793130881881,Binance-Peg USD Coin,USDC,18,72,255926,5000000000,240926,8602739,deprecated,10022
7929732,1622589024,0x256193363d40daa7246e01454dd689e5d1b4dd1334cb94f25716fd309b436f71,240,0xb152c4c36a5a7ce4994ebe75bbda0ad038373ad7d1862673b1bd04c021415cb0,0xeaca2e7711dc0cd34ba84cacf4f81d5ce3dfec87,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,62104475833045494425,Binance-Peg USD Coin,USDC,18,72,255926,5000000000,240926,8602739,deprecated,10022
7929742,1622589054,0x64eb86e8efdd8f44e64c1dde39e74cbbd06ddf84b9211ce465744e2bf0782e4c,3,0x9feeb932d61fa887fbb9a4407243dcdf15f583be3f9d219f9b7047b1a69762b0,0x20e71e0b35219600210632010e3b4a1d6b78f6a3,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,305767030692350412,Binance-Peg USD Coin,USDC,18,154,291731,5000000000,276731,20380506,deprecated,10012
7929742,1622589054,0x64eb86e8efdd8f44e64c1dde39e74cbbd06ddf84b9211ce465744e2bf0782e4c,3,0x9feeb932d61fa887fbb9a4407243dcdf15f583be3f9d219f9b7047b1a69762b0,0x20e71e0b35219600210632010e3b4a1d6b78f6a3,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,60847639107777732094,Binance-Peg USD Coin,USDC,18,154,291731,5000000000,276731,20380506,deprecated,10012
7929742,1622589054,0x7bef9849afa2b94354ea88ba54e321a8830a2961ba1f626627dbeb3380e604e6,139,0x9feeb932d61fa887fbb9a4407243dcdf15f583be3f9d219f9b7047b1a69762b0,0x319338a6f39049137bd8e74da1ad9128dc633657,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,3049400000000000000,Binance-Peg USD Coin,USDC,18,224,291719,5000000000,276719,25305329,deprecated,10012
7929742,1622589054,0x7bef9849afa2b94354ea88ba54e321a8830a2961ba1f626627dbeb3380e604e6,139,0x9feeb932d61fa887fbb9a4407243dcdf15f583be3f9d219f9b7047b1a69762b0,0x319338a6f39049137bd8e74da1ad9128dc633657,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,606830600000000000000,Binance-Peg USD Coin,USDC,18,224,291719,5000000000,276719,25305329,deprecated,10012
7929764,1622589120,0x1759b595855e21245ad779e6a3fbc3d82ba9841a74146f784ceb425f5407756c,19254,0xdcbdf0b0e116c6eeb25a3e24193ae9ffe80065d8f7e4428b0e5d61b3f0ca8c13,0x3247554b2bad31d5120b98d5f51df5a406d6b524,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0xbaafb2b7bb32bd322eb15e94113000ebe3c79175,315415000000000000000,Binance-Peg USD Coin,USDC,18,26,77231,5000000000,77231,3855700,deprecated,9990
7929783,1622589177,0xdeace2c0237e1a5e5c20b248939d8ddc7fc3389cfb7238503ba130b4c9549ff7,855,0xdbe7f0c6471fbd36128e077ab770810d02136a6b32fd4a65963c5952504faf97,0xd860e32b72afd7cae961da23702bad7b096e243b,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,250000000000000000,Binance-Peg USD Coin,USDC,18,40,291719,5000000000,291719,10616481,deprecated,9971
7929783,1622589177,0xdeace2c0237e1a5e5c20b248939d8ddc7fc3389cfb7238503ba130b4c9549ff7,855,0xdbe7f0c6471fbd36128e077ab770810d02136a6b32fd4a65963c5952504faf97,0xd860e32b72afd7cae961da23702bad7b096e243b,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,49750000000000000000,Binance-Peg USD Coin,USDC,18,40,291719,5000000000,291719,10616481,deprecated,9971
7929804,1622589240,0xd48b2bad9311bc6f99a3d5c405cd3eec20ad2590fc418002eaab55ce8e6ca900,5,0x183639d0e6c7d7297e04ae25b718fff548553c285a8fe7c8afadf55d3295f699,0xe61cf7d86582201776defab92ce985931c70d24c,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,2096344008732696213,Binance-Peg USD Coin,USDC,18,105,255926,5000000000,240926,13683146,deprecated,9950
7929804,1622589240,0xd48b2bad9311bc6f99a3d5c405cd3eec20ad2590fc418002eaab55ce8e6ca900,5,0x183639d0e6c7d7297e04ae25b718fff548553c285a8fe7c8afadf55d3295f699,0xe61cf7d86582201776defab92ce985931c70d24c,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,417172457737806546457,Binance-Peg USD Coin,USDC,18,105,255926,5000000000,240926,13683146,deprecated,9950
7929815,1622589273,0xcf97d91c90b1eca2c5857dc928452cb8929796304e19bf4c020aeed864828781,2545,0xd81a8d1c30490b22b3ede040106a7ac12df327f54ae6333e9a3a21c22f154b06,0x07dbc2115534f5ad73e0cf3a724e01183ff06a07,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,24995741123575284556,Binance-Peg USD Coin,USDC,18,49,255938,5000000000,240938,7788596,deprecated,9939
7929815,1622589273,0xcf97d91c90b1eca2c5857dc928452cb8929796304e19bf4c020aeed864828781,2545,0xd81a8d1c30490b22b3ede040106a7ac12df327f54ae6333e9a3a21c22f154b06,0x07dbc2115534f5ad73e0cf3a724e01183ff06a07,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,4974152483591481626827,Binance-Peg USD Coin,USDC,18,49,255938,5000000000,240938,7788596,deprecated,9939
7929819,1622589285,0xe82b19ebab70d7c725bc58e4302fab382b8eba7c212142520ee782a7c83e21c3,4,0xaa525499d7e83b9d06e008e8a591622fd6463a74482dacde0c8ee1313bfb3937,0xeb76f41b4bd0b4c10a3f805b77167de054150081,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x3247554b2bad31d5120b98d5f51df5a406d6b524,501000000000000000,Binance-Peg USD Coin,USDC,18,84,291707,5000000000,276707,21370030,deprecated,9935
