blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
12546134,1622517429,0xed44f1d553920ba941356e2ea5bec716561d2b72e0f0f98f59441d20907a7591,2063,0xfdf4b2fd7ad737f3812bd018675df1f289fe18cb417ddbb497027850b30c863c,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5583bbda575f142993c10a335daf29dc7510e8f2,500000000,USD Coin,USDC,6,23,272350,28000000000,256470,1411942,deprecated,2137
12546135,1622517435,0x394ccda1c0abd5f4189bd3b9bbe3a1a44fb5fcdcd14d61f0e87fd7650ec45dcd,1,0x5af8a8fc80b3afc9a934acdafbcdf5cefb1d00bceb7e4c535592a23bf7e532e5,0x34400b1418bde0a4f80d7905d14ed39af8d76e79,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,721782445,Tether USD,USDT,6,74,108181,19715610000,85712,6408537,deprecated,2136
12546135,1622517435,0xa190bf069d850a88a2336d25eabe5532096e408faddb6ad44de47fa9a6c62828,435,0x5af8a8fc80b3afc9a934acdafbcdf5cefb1d00bceb7e4c535592a23bf7e532e5,0xddbbf84382db98573bcc656fa7c6ac8b52466c8b,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,130456595493153042680,SushiToken,SUSHI,18,112,102323,19000000000,79854,9656025,deprecated,2136
12546135,1622517435,0x273b4f81dc161bcfd3c0332d35bf3e340146c81d724c91f5515b4ebba09ea117,5,0x5af8a8fc80b3afc9a934acdafbcdf5cefb1d00bceb7e4c535592a23bf7e532e5,0xe60d8c59b0ac3deb73efa0e84747c48038885898,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,1024556988,Tether USD,USDT,6,131,108181,19000000000,85712,12364809,deprecated,2136
12546145,1622517568,0xa270ff5e0d43a20e567973fb6fd28d6294f25d16406f2f99a3bec4d379d7b00b,504,0x8d1f9ec7383c53c0a073607f5f1e0cfc6f3d9244c45c61dbaf929f7247778b16,0x1b200c7163826a363b5531016a4f0bc8b0277453,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,289669400000,USD Coin,USDC,6,122,114687,23500000000,107218,8693140,deprecated,2126
12546149,1622517652,0xc565fd1a9d5fe0404ec6761d287ad7577d689994ee0a075bbb50f2212c62816c,52,0x3311f2b4ddd16204d40121800c2d399f61feb4306805fcf011bafabc23cd1c8e,0x08c3dafc613bede6bec889d2f579b4c7be10270e,0x6b175474e89094c44da98b954eedeac495271d0f,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,94000000000000000000,Dai Stablecoin,DAI,18,76,97237,22000000000,89768,5923317,deprecated,2122
12546155,1622517746,0xdd544c28f9fd4623be5c2475eb5a3c6a77ead3517fff16963be474590100af4a,5287,0x6c2f0b09254e4a8dd785227e805dd0d1bd7d59ed851648e2c23698cbf870ff8f,0x16710ce8c36756e59c38f76d3096bc666366d3ab,0x9695e0114e12c0d3a3636fab5a18e6b737529023,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,859488784921671868188,DFYN Token,DFYN,18,254,102147,33000000000,79678,6604293,deprecated,2116
12546155,1622517746,0xcb1057c85fd0be27e638e2374d08e5e63c7466504141419349ddd0c2ef928b0b,505,0x6c2f0b09254e4a8dd785227e805dd0d1bd7d59ed851648e2c23698cbf870ff8f,0x1b200c7163826a363b5531016a4f0bc8b0277453,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,264958287453626160000,Aave Token,AAVE,18,273,251915,26500000000,244446,8409651,deprecated,2116
12546157,1622517757,0x25a349bb70d81bc87477ab06364af958b832bcc97a8344a4fabfdbd1dd078bff,56,0x0f0567393f93c3735bdafba0f27119311f3ae3c26ecf14df3a28ba8c10c9a1c0,0xbb2c7036f4965702f314cbaae60f586e14ebb519,0x85993be4ef5bec00b62ba7e46a8a70f353182b3e,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,99888880000000000000000,YiYouBao,YYB,18,195,150349,23000000000,122980,13748531,deprecated,2114
12546158,1622517775,0x67a10345c4f5c82a3aea3c7939a0dac1400d539648d992637ffeb09956b2a8ad,14,0x488694cfd7a192574d61e6411a91e377b09d86b6396c0cb5a38c6c303591557e,0x95c2ec97903c993efbe4630f1535282a12fead98,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,19980000000,USD Coin,USDC,6,84,114675,27000000000,92206,5341911,deprecated,2113
